"Source Name"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[developmental stage]"	"Characteristics[strain]"	"Term Source REF"	"Term Accession Number"	"Characteristics[genetic alteration]"	"Characteristics[phenotype]"	"Characteristics[sex]"	"Term Source REF"	"Term Accession Number"	"Characteristics[dob]"	"Characteristics[age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[weight]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[model description]"	"Protocol REF"	"Parameter Value[housing]"	"Parameter Value[cage number]"	"Parameter Value[light cycle]"	"Parameter Value[feed type]"	"Parameter Value[feed manufacturer]"	"Parameter Value[diet availability]"	"Parameter Value[water supply type]"	"Parameter Value[water type]"	"Protocol REF"	"Parameter Value[compound]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[route]"	"Parameter Value[dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[dose volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[duration of dosing]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[vehicle]"	"Protocol REF"	"Performer"	"Date"	"Parameter Value[collection time]"	"Parameter Value[euthanasia]"	"Parameter Value[processing]"	"Parameter Value[quantity taken]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[storage temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Characteristics[organism part]"	"Term Source REF"	"Term Accession Number"	"Comment[sample description]"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	""	""	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	""	""	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	""	""	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	""	""	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	""	""	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	""	""	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	""	""	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	""	""	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	""	""	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	""	""	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
